,Caption,Topic_ID,Topic_Name
16,Push day at home: where the gym is always open and the mirror never lies. #HomeGymVibes”,-1,Nutrition & Diet Tips
17,Comment ‘Eggs’ to receive Receipe of this healthy eggs bhurji,2,Nutrition & Diet Tips
18,Comment “Sugar” to receive zero sugar link in your messaging box which is really healthy.  zero sugar coffee ✅,9,Sugar & Metabolic Health
19,"Comment “link” and I will share you the link of the Yogurt strainer in your messaging inbox.  Hung Curd ✅ has 11g of protein per 100gm Serving. In this video, you see 400 g of hung curd.",-1,Nutrition & Diet Tips
20,"Comment “noodles” to receive the link of the zero sugar, Shirataki noodles.",-1,Nutrition & Diet Tips
21,Comment “swap” and I will send you five swaps which you should replace to start healthy lifestyle,-1,Nutrition & Diet Tips
22,Don’t be a Babu Rao   Comment “link” and I will send you the link of this essential electrolyte which you can use every day if you cannot afford Coconut water,19,Health Awareness
23,Comment “link” and I will send you the link of this amazing high protein veg snack in your message inbox.  New Protein Rich Snack Edamame in India for Vegetarians,-1,Nutrition & Diet Tips
24,"Comment “Paneer” and I will send you an amazing recipe of paneer which you can make at your place, which is healthy.",15,Nutrition & Diet Tips
25,Hack squat is the best machine to build quads ✅,0,Fitness & Exercise
26,Comment “Mango” and I will send you the recipe of sugar-free mango lassi.,9,Sugar & Metabolic Health
27,"Why risk it with random blends? Iso Ripped gives you 32g clean isolate, L-Carnitine, CLA—zero sugar, zero banned stuff. 🏆 CoE-NSTS certified. 💥 Kesar Malai Kulfi flavor hits different.  #isoripped #certifiedclean #QNT #webuildchampions",-1,Nutrition & Diet Tips
28,How many reps i did?,-1,Nutrition & Diet Tips
29,"In your arms, every view is Perfect ❤️🧿😻 #couple #travel #instagram #post #like",5,Lifestyle & Motivation
30,Comment “ Paneer“ and I will send you five different dishes of paneer which you can have,15,Nutrition & Diet Tips
31,Comment “Diet” and i will send you a blueprint of real food which will help you in lowering your blood sugar level.,23,Sugar & Metabolic Health
32,Sugar and Its relatives  So wat to consume??  Stevia Monkfruit Erythritol ✅,9,Sugar & Metabolic Health
33,"Protein ice cream, which has 42gm protein.   Comment “QNT” and I will send you the link of whey protein which I use .",-1,Nutrition & Diet Tips
34,Comment “snacks” and I will send you five healthy snacks option which will not spike your insulin and will lower your blood sugar level,-1,Nutrition & Diet Tips
35,🤡☝️ chicken se cancer🤡☝️,6,Insights & Commentary 
36,Do i give a damm about them??? Never,-1,Nutrition & Diet Tips
37,"Comment “veg” and I will send you five best protein sources, which are good for your body and will not give you inflammation",4,Nutrition & Diet Tips
38,"Comment, “avocado” and I will send you the recipe of amazing avocado spread.",2,Nutrition & Diet Tips
39,Comment “share” and I will send you 10 healthy options you can have outside,2,Nutrition & Diet Tips
40,Comment “share” and I will send you a blueprint of how to shift your body to fat fuel.,10,Weight Management
41,Kaisa laga dinner,1,Health Awareness
42,Comment “swap” and I will send you a few options which you should replace in your home to start healthy lifestyle.,-1,Nutrition & Diet Tips
43,Comment “real” and I will send you a few real foods in that way you will get an idea what real foods are..,2,Nutrition & Diet Tips
44,Lifting 110 kg on fasting state just black coffee and Shilajit before workout  Thanks @karany.23 for support,-1,Nutrition & Diet Tips
45,Comment “chicken”and I will send you the recipe of tandoori chicken which you can make at your place,2,Nutrition & Diet Tips
46,"Comment “egg” and I will send you the recipe of this chocolate mousse, which is totally made in real food.",2,Nutrition & Diet Tips
47,"Comment “protein”and I will send you five protein options, which has good absorption rate.",-1,Nutrition & Diet Tips
48,@kkriders vs @delhicapitals,7,Lifestyle & Motivation
49,I tried but failed … but one day will surely do 70kgs cable press,3,Weight Management
50,Comment “Paneer” and I will send you the recipe of this amazing paneer bhurji in your messaging box,15,Nutrition & Diet Tips
51,Comment “Food” i will send you 10 real foods which you can implement in your daily lifestyle,2,Nutrition & Diet Tips
52,New Gym Membership,-1,Nutrition & Diet Tips
53,"Swipe left 👈 ✅No calorie counting , only real foods, tasty foods , hormone balance, fat loss, sustainable lifestyle ✅  Are you ready to lose fat or gain muscles without even counting calories?   Reverse your type 2 diabetes, PCOS, uric acid, BP, high triglycerides, Thyroid and many other chronic condition with just nutrition.  WhatsApp me now on 9171123324 to avail my fitness plan and my team will revert you shortly  Team leanbeast 🇮🇳",-1,Nutrition & Diet Tips
54,15 whole eggs boiled❤️🫵,2,Nutrition & Diet Tips
55,My meal for today ☝️,14,Lifestyle & Motivation
56,Tum logo ka staple food🫵,1,Health Awareness
57,Benefits of real foods no insulin spike,23,Sugar & Metabolic Health
58,Comment “skinny” and I will send you a blueprint of how to gain weight if you are skinny guy.,-1,Nutrition & Diet Tips
59,Protein intake is my priority,4,Nutrition & Diet Tips
60,Food are you two types ASLI AND NAKLI,1,Health Awareness
61,Work mode on😻,-1,Nutrition & Diet Tips
62,Comment “Fatloss” and i will send you few healthy starters which you could include with your drinks low in carbs,10,Weight Management
63,Common “food” and I will send you 10 Real food options which you can implement in your fat loss.,-1,Nutrition & Diet Tips
64,High Protein over 100gm no insulin spike,4,Nutrition & Diet Tips
65,Comment “share” and I will send you a blueprint of how to reduce inflammation and ways to decrease cardiovascular risk.,13,Health Awareness
66,Well done @deepali50666 6 weeks weight loss changes plus inch loss   ✅If you wish to transform (paid training) whatsapp me now +91 9171123324 ✅,3,Weight Management
67,"Comment “VIT D”, and I’ll send you the link of the best supplement which you can use if your vitamin deficient.  Get your blood test done before you supplement VIT D",-1,Nutrition & Diet Tips
68,This is the best veg protein source,4,Nutrition & Diet Tips
69,Comment “share” and I will send you a blueprint of how to do prolonged fasting,12,Health Awareness
70,Comment “OMAD” and i will share you 120gm One meal a day option in your message inbox  Protein i use @qnt.india Nitrapure,-1,Nutrition & Diet Tips
71,Yes diet coke is better than your so called healthy selfproclaimed sugar juice .. aao science batata hu aapko..,9,Sugar & Metabolic Health
72,My micronutrient list:- multivitamins  Omega-3  Glucosamine  Vitamin C  Collagen  Curcumin Ashwagandha Magnesium glycinate  Glutathione B complex,-1,Nutrition & Diet Tips
73,Comment “hydration” and I will send you a sugar-free option which is cheaper than sugarcane juice for better hydration.,9,Sugar & Metabolic Health
74,❤️❤️☝️,6,Insights & Commentary 
75,High protein veg outside option,4,Nutrition & Diet Tips
76,Early morning icebath before my gym is a blessing☝️,11,Recovery & Injury Prevention
77,Sweetcorn,9,Sugar & Metabolic Health
78,Peanuts with diet coke my first meal,-1,Nutrition & Diet Tips
79,"The Pros and Cons of Drinking Sugarcane Juice  We discuss the benefits and drawbacks of drinking sugarcane juice. While it is a natural source of sugar, consuming it regularly can be unhealthy due to the high sugar content. The recommendation is to drink it in moderation, such as once a week.",9,Sugar & Metabolic Health
80,Humare desh meh bhare pade hai aise🤡☝️,1,Health Awareness
81,Comment “tortilla” and I will send you the link of this zero sugar almond tortillas  High protein zero carbs Paneer Shawarma .  ✅If you wish to transform (paid training) whatsapp me now +91 9171123324 ✅,2,Nutrition & Diet Tips
82,Desh chunotiyo se nahi inn chut@yoo se pareshan hai,1,Health Awareness
83,Comment “fasting” and I will send you a blueprint of how to start fasting and achieve autophagy later.,12,Health Awareness
84,"Eat right food you’ll never get fat even if you eat excess but if you eat wrong food, you’ll start counting calories  ✅If you wish to transform (paid training) whatsapp me now +91 9171123324 ✅",-1,Nutrition & Diet Tips
85,Well done Sheebaji lost 10kgs plus massive inch loss with thyroid condition in 2 months  ✅If you wish to transform with me please click for paid training whatsapp me now +91 9171123324 ✅,3,Weight Management
86,Comment “share” and i will send you tips of how to bulk with fats,10,Weight Management
87,Bik gaye tum🤡🫵,6,Insights & Commentary 
88,Yo hai maara desi khadaaa,1,Health Awareness
89,Well done @chirag_dhulia07 took almost an year to achieve this .  ✅If you wish to transform (paid training) whatsapp me now +91 9171123324 ✅,3,Weight Management
90,Comment “icecream” and I will send you the recipe of this amazing zero carb high protein ice cream  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,2,Nutrition & Diet Tips
91,Dawai kha raha hai ye☝️🤡 Learn difference between pharma and nutraceuticals ..guys lets educate  Disclaimer:- Supplements I am consuming is as per my body demand and it varies person to person so do not copy me and take  supplements as per your Body requirement and deficiency. Cheers guys.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
92,"Comment ‘LINK’ to try these gummies with real Shilajit benefits and share this with your friends! I found these @man.matters Shilajit Gummies with 70%+ fulvic acid, third-party lab testing, and 2.5x better absorption than resin.  80% of Shilajit in the market is fake! Instead of unreliable tests, always check if it’s lab-tested and has high fulvic acid content.",-1,Nutrition & Diet Tips
93,1kg chicken soup  ingredients  1 kg chicken  Four whole eggs  Salt  Pepper  Lemon juice  Water,2,Nutrition & Diet Tips
94,Common “Sugar” and I will send you a blueprint of how to eradicate Sugar from your life,9,Sugar & Metabolic Health
95,Comment “clean” and I will send you blueprint of how to bulk without getting fat,10,Weight Management
96,My baby @iamwhiskey_thenaughtycat,7,Lifestyle & Motivation
97,#ghibli,1,Health Awareness
98,Cant hit my protein goals🥲,-1,Nutrition & Diet Tips
99,"Comment “Food” and I will send you list of all real food, which will lower your blood sugar level and will not make you feel hungry for a long time",23,Sugar & Metabolic Health
100,Comment “link” and i will send you link of electrolyte i use which is sugarfree,9,Sugar & Metabolic Health
101,Comment “food”and I will send you 10 real foods in your message inbox,2,Nutrition & Diet Tips
102,Meet my Ghibli-Style family❤️🧿❤️ #cat #instagram #reels #trend #trendingreels #ghibli,8,Fitness & Exercise
103,Signs that you have a very good cardiovascular health,13,Health Awareness
104,Work hard for your muscles☝️,20,Lifestyle & Motivation
105,Comment “Cauli” and i will send you cauli rice recipe .,2,Nutrition & Diet Tips
106,Comment “Zero Sugar” and I will send you the link of this amazing zero sugar which you should start using and replace this with Sugar.,9,Sugar & Metabolic Health
107,My favourite love story is OURS❤️🧿❤️ #beautyandthebeast #manali #himachal #himachalpradesh #shimla #mountains #kullu #travel #india #himalayas #nature #himachaltourism #travelphotography #manalidiaries#incredibleindia #himachali #instagram #photography #kangra #mandi #himachaldiaries #pahadi #instahimachal #ladakh #travelgram #leh #snow #love #kinnaur #chamba,5,Lifestyle & Motivation
108,Static vs Dynamic stretching   ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
109,😁😁😅☝️,6,Insights & Commentary 
110,Comment “Jai Mata Di” and I will send you a free diet plan for next 10 days.,1,Health Awareness
111,Zero sugar high protein pasta☝️❤️,-1,Nutrition & Diet Tips
112,Comment “share” and I will send you 5 more healthy fats like ghee which will surely help you in fat loss,-1,Nutrition & Diet Tips
113,Well done Vipin 2 month change ..  No calorie counting here ☝️  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
114,Insulin ka game..,23,Sugar & Metabolic Health
115,Comment “Roti” and I will send you the link of this amazing low-carb roti. Replace it with your high carb grain.,-1,Nutrition & Diet Tips
116,Comment “Diet” and I will send you more high protein meal ideas,4,Nutrition & Diet Tips
117,Hahha🤡☝️  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
118,"Comment “eggs” and I will send you five tasty recipes, which you can use in your fat loss ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅",2,Nutrition & Diet Tips
119,140gm protein in one seating☝️🫡,4,Nutrition & Diet Tips
120,Kya galat bola essential carbs hote hi nahi hai…..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,1,Health Awareness
121,"Comment “Shilajit” to receive the original link of Shilajit in your message inbox  Experience the Power of Real Shilajith with @rasayanam Pure Himalayan Shilajith sourced from Gilgit Mountains with Maximum Fulvic Acid Content 🔥   Use my code ‘LEAN15’ for Extra 15% Off!  🔥 Most powerful natural testosterone enhancer  📈 Explosive improvement in strength, stamina, and power ⏩ Faster recovery from workouts and strength training  💪🏻Boost in libido and performance",-1,Nutrition & Diet Tips
122,Comment “real” and I will send you 10 real foods which if you implement will help you in fat loss.,2,Nutrition & Diet Tips
123,Chicken malai tikka best source of protein  Location-Shama chicken corner Rajendra Nagar Delhi,21,Nutrition & Diet Tips
124,Comment “fasting” and I will send you a blueprint of how to start fasting and what all you can take during fasting.,12,Health Awareness
125,Over 200gm protein …,4,Nutrition & Diet Tips
126,"Comment “Edima” and I will send you a link of this high-protein vegetable protein sources, which you can consume every day",4,Nutrition & Diet Tips
127,Comment “Protein” to receive one secret recipe of high protein sweet dish.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,2,Nutrition & Diet Tips
128,High protein milk jisme 26gm protein hai   Lets review milk from @provilac_dairy,-1,Nutrition & Diet Tips
129,Comment “share”and I will send you 5 food which will boost your cholesterol levels and help you raise your testosterone,16,Health Awareness
130,Comment “diet” and I will share you 100 gm veg protein diet in your message inbox.,-1,Nutrition & Diet Tips
131,Comment “Share” and I will share you one more high protein veg recipe in your messaging box,-1,Nutrition & Diet Tips
132,Caption it☝️,6,Insights & Commentary 
133,Comment “share” and I will send you a blueprint of how to avoid type 2 diabetes in future,23,Sugar & Metabolic Health
134,Siddu sethan.,1,Health Awareness
135,Love is in the air,5,Lifestyle & Motivation
136,Barf Wali Holi❤️🧿❤️ #holi #holifestival #happyholi #festival #india #holihai #love #instagram #colours #instagood #festivalofcolors #holicelebration #colors #photography #indianfestival #holiday #holifest #holifestivalofcolours #festivalofcolours #holiparty #mumbai #trending #holipowder #color #happy #holispecial #bhfyp #diwali #like #celebration,5,Lifestyle & Motivation
137,Hahha🤡☝️,6,Insights & Commentary 
138,Comment “electrolyte” and I’ll send you the link of electrolyte which I use on daily basis  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
139,Happy holi guys❤️☝️,5,Lifestyle & Motivation
140,Over 100gm protein☝️,4,Nutrition & Diet Tips
141,Peanuts masala☝️❤️,-1,Nutrition & Diet Tips
142,Sugar cravings do this☝️ reason why salt is antidote for sugar.,9,Sugar & Metabolic Health
143,I’m not promoting alcohol here just trying to aware masses that you should not consume alcohol during fat loss.,10,Weight Management
144,Dhabe ka paneer asli ya nakli??,1,Health Awareness
145,40 eggs whole and dryfruits,2,Nutrition & Diet Tips
146,Kya lagta hai paise barbaad kar diye icebath ki machine leke??,1,Health Awareness
147,"Comment “share” and I will send you few healthy fats option, which will reduce your craving levels.",-1,Nutrition & Diet Tips
148,@paragmilkfoods govardhan paneer testing,15,Nutrition & Diet Tips
149,Paneer pakoda testing at famous gopal sweet corner kamla nagar delhi,1,Health Awareness
150,Comment “Preworkout” and I will send you a few natural homemade pre-workout in your message inbox.,2,Nutrition & Diet Tips
151,Comment “Protein” and I will send you 5 top quality veg protein sources.,4,Nutrition & Diet Tips
152,Comment “cream” and I will send you the recipe of zero sugar cream which state is almost equal to sugar cream.  Purchase original supplement from @qnt.india and use my coupon “QNTEKANSH” to get discount .,-1,Nutrition & Diet Tips
153,"Mcdonalds paneer test… iodine tinture will turn black if it gets in contact with starch, so that’s why the outer layer is black.(coz it was in touch with marination) If you see inside the paneer didn’t change its color, (it was not in touch with marination) so guys relax at @mcdonalds_india paneer is real , i am lovin it taraa tah tah tah..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅",15,Nutrition & Diet Tips
154,Haleem for body building..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
155,Team india @indiancricketteam best wishes for finals❤️,7,Lifestyle & Motivation
156,Common “share”and I will send you five healthy facts option in your message inbox.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
157,My home gym..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
158,Comment “share” and I will send you the link of iodine tincture solution for identifying fake or real paneer..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,15,Nutrition & Diet Tips
159,Common “fasting” and I will send you a blueprint of how to start fasting and implement it forever.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,12,Health Awareness
160,Comment “share” and I will send you five Healthy fats options in your messaging box   Butter scam vendors do..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
161,Just a normal day at work working hard to fulfill my protein intake🫡,4,Nutrition & Diet Tips
162,"Comment “chocolate” and I will send you the link of chocolate which has high protein, and zero sugar in your message inbox",2,Nutrition & Diet Tips
163,Paneer momos asli ya nakli,1,Health Awareness
164,Comment “Share” to receive more such fatloss Receipe in your message inbox,2,Nutrition & Diet Tips
165,@countrydelightnatural paneer fake or real??,15,Nutrition & Diet Tips
166,Comment “Roti” and i will send you link of this low-carb roti.  Almost INR 1000 meal ..,-1,Nutrition & Diet Tips
167,Comment “testosterone” and I will send you a blueprint of how to increase your testosterone naturally.,16,Health Awareness
168,Comment “eggs” and I will send you some interesting recipes in your message inbox.,2,Nutrition & Diet Tips
169,@motherdairy paneer test…..,15,Nutrition & Diet Tips
170,"Comment “Ramzan” or “Ramadan” tag your three friends and you will receive a free diet plan which will help you lose retain muscle at the same time.  100-Gram Protein Diet Plan for Ramadan to Prevent Muscle Loss and Promote Fat Loss  if you want to add more protein, you can supplement it with @qnt.india protein",4,Nutrition & Diet Tips
171,Rohit sharma fitness??   This is my view not getting from Rohit’s PR🫡,1,Health Awareness
172,Testing Worlds Famous Kunjilal dairy roshnara road delhi paneer and my fav❤️☝️,1,Health Awareness
173,Comment “Almond” to receive zero sugar almond tortilla link in your message inbox,2,Nutrition & Diet Tips
174,My newest investment for my health - Icebath machine  Powerful Cooling Machine: No More Ice needed.. #EyesBathMachine #CoolingMachine #Chiller #icebath,11,Recovery & Injury Prevention
175,High protein kebab .. my cholesterol levels ⚡️⚡️,13,Health Awareness
176,Comment “Asli” to receive original supplement link in your inbox  Smoking thrills but kills.,-1,Nutrition & Diet Tips
177,Did zomato paneer passed iodine tinture test??,15,Nutrition & Diet Tips
178,Lunch 100gm protein,4,Nutrition & Diet Tips
179,Kya @swiggy_instamart meh milne wala paneer asli hai..???,1,Health Awareness
180,High Protein Blueberry Mouse and Vlog.,-1,Nutrition & Diet Tips
181,@karanx.23 Brothers❤️,7,Lifestyle & Motivation
182,Nakli Paneer,1,Health Awareness
183,Paneer asli tha ya nakli??,1,Health Awareness
184,Comment “Gain” and I will send you a six week diet. Plan of 150gms Protein  per day.  Thats why gym is 80% diet and 20% workout,4,Nutrition & Diet Tips
185,Comment “Bulk” and i will send you a blueprint of how to bulk with fats.,10,Weight Management
186,Paneer asli or nakli ??,1,Health Awareness
187,Comment “Diet” and I will send you a six weeks testosterone booster diet in your message inbox:,16,Health Awareness
188,Total 10 eggs..,2,Nutrition & Diet Tips
189,My meal ..,14,Lifestyle & Motivation
190,Comment “Diet” to receive 150gm of protein diet in your message inbox.,-1,Nutrition & Diet Tips
191,Affordable gym sippers from @nike,19,Health Awareness
192,Conment “eggs” and I will send you five healthy recipes which you can make from eggs,2,Nutrition & Diet Tips
193,"Comment “Diet” and I will share you a diet, which will increase your testosterone.",16,Health Awareness
194,20eggs a day ??,-1,Nutrition & Diet Tips
195,High Protein Strawberry curd totally veg 25gm Protein.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
196,Comment “Gain” to receive a blueprint of how to gain weight with mostly Muscles   @vickykaushal09 new warrior look.,-1,Nutrition & Diet Tips
197,Really unhealthy hota hai🤡☝️,-1,Nutrition & Diet Tips
198,Well done @_adv.deepanker_choudhary.14 lost 28 kgs in 4 months  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,3,Weight Management
199,Comment “Pizza” and i will send you healthy pizza recipe in your inbox that you can have every day for fat loss or muscle gain .  Pizza ka invention kab hua tha??,2,Nutrition & Diet Tips
200,Comment “Eggs” and i will send you 5 healthy recipe in your message inbox,2,Nutrition & Diet Tips
201,Comment “Gains” and I will share you another Mass gainer recipe in your message inbox,-1,Nutrition & Diet Tips
202,Comment “Share” and i will share you few heart friendly food options.,-1,Nutrition & Diet Tips
203,Comment “Oil” and i will send you list of all healthy cooking oil in your message inbox.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
204,Comment “Rice” to receive zero sugar rice link in your message inbox.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
205,Posing with ❤️❤️,-1,Nutrition & Diet Tips
206,Have done for 6 min … Reels can only record for 3 min..   Comment “link” to get link of this icetub.,11,Recovery & Injury Prevention
207,Comment “Purine” and i will send you list of all high purine and low purine food   ✅Interested in Paid transformation?? Message me now or Whatsapp me on  9171123324 ✅,-1,Nutrition & Diet Tips
208,Lunch date with @iambhartichoudhary ❤️,7,Lifestyle & Motivation
209,Comment “Fasting” and i will send you a blueprint of how to do fasting in your message inbox  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,12,Health Awareness
210,Comment “Pasta” and i will send you the link of this zero sugar spaghetti pasta in your inbox enjoy.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
211,Comment “Protein” and i will send you few better veg protein options better than Dal chawal.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,4,Nutrition & Diet Tips
212,Comment “Send” and I will send you a sample six weeks plan for fat loss in your message inbox.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
213,1 or 2 ???? Which pic,5,Lifestyle & Motivation
214,Comment “Low sugar” and i will send you a diet which will lower your blood sugar levels,23,Sugar & Metabolic Health
215,150gm protein meal..,4,Nutrition & Diet Tips
216,Comment “QNT” and i will send you link of QNT isoripped.,-1,Nutrition & Diet Tips
217,Comment “Veg” and i will send you the link of this Recipe have this with Cauli Rice   PURE VEG🌱 High Protein Fatloss Meal 40gm protein  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
218,High Protein Shots .. Comment “More” and i will send you more such recipes in your message inbox  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,2,Nutrition & Diet Tips
219,Is salt a culprit? Or SUGAR🧐… Comment “diet” to receive 6 weeks sample fatloss plan.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
220,High Protein Chicken Nugget.. Comment “Recipe” and I will share you the recipe of this high protein meal.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,2,Nutrition & Diet Tips
221,Comment “Healthy” and I will message you 5 healthy fats option which you can implement before your meal.  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
222,Comment “Diet” to receive 6 weeks sample gaining diet plan in your inbox  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
223,This pic is almost 7 years old when i got my first 6 pack abs so i did this DARD E DISCO SHOT✅…  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,0,Fitness & Exercise
224,120gm protein meal   ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅  Kaisa laga ??,2,Nutrition & Diet Tips
225,Comment “Roti” to receive high protein roti recipe in your inbox message  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
226,Comment “Body recomp” and i will send you a 6 weeks plan veg diet plan for body recomp in your inbox  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
227,Agree☝️🤣,6,Insights & Commentary 
228,Comment “Healthy” and i will send you 5 healthy fats sources which will boost your testosterone  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,16,Health Awareness
229,Body recomp well done @malikkkk__01 good amount of muscle mass gained,3,Weight Management
230,Power of High Cholesterol 👍,13,Health Awareness
231,Meri Kya Galti Thi ?😡😡😢 . #exercise#gymmotivation #hasleyindia,0,Fitness & Exercise
232,ITNA☝️😅  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
233,Well done @rektinpieces my brother who has lost 25kgs under my guidance,3,Weight Management
234,Lowest body fat 7%,-1,Nutrition & Diet Tips
235,Comment “Paneer” and i will share you how to make paneer at home in your inbox  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
236,Comment “Share” and i will send you best sugar free electrolyte which i use in your inbox  RIP @joesthetics 🙏  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
237,When you only eat real foods you dont count calories🙏 stop judging others 🤝  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,18,Nutrition & Diet Tips
238,Comment “Recipe” and i will share you chicken tikka recipe in your in box  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
239,GYM IS AN EMOTION❤️  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
240,50gm Protein Smoothie  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,-1,Nutrition & Diet Tips
